ID,Description,Location,Region,Duration,Start ,End,Day,Month,year,Season,Environment,Conditions,Temp,Recorder,Mics,Channels,Mic_position,SC?,Lossless?,mp3?,Image?,site?,Quality,Notes,Actual date
YKA002,Middle Farm dawn chorus,Yankalillla,Western Fleurieu,11:27,5:45:00,6:35:00,1,10,2017,Spring,Light forest & scrub,,,SD MixPre-3,Rode NT5,Stereo pair,Tripod,y,y,y,y,y,4,Time compressed,
YKA003A,Carrickalinga Creek 'Beach',Yankalillla,Western Fleurieu,10:34,10:05:00,10:15:34,1,6,2018,Winter,Riverine,"Overcast, calm",10,SD Mix Pre-3,LA CM3,Stereo pair (no windjammers),Spaced,y,y,y,y,y,5,,
YKA003B,Carrickalinga Creek 'Beach',Yankalillla,Western Fleurieu,9:00,10:00:00,10:09:00,1,4,2019,Autumn,Riverine,"Overcast, dry, warm",28,SD Mix Pre-3,LA CM3,Stereo pair (w/windjammers),Spaced,y,y,y,y,y,5,,
YKA003C,Carrickalinga Beach 'Beach',Yankalillla,Western Fleurieu,14:47,10:30:00,10:44:47,1,8,2019,Winter,Riverine,Clear,10,SD Mix Pre-3,Aquarian Hydrophones,Stereo pair,Hydrophone,y,y,y,y,y,4,,
YKA003D,Carrickalinga Beach 'Beach',Yankalillla,Western Fleurieu,11:24,11:24:00,11:35:57,7,12,2019,Summer,Riverine,"Clear, sunny, dry",20,Olympus LS-100,Built-in,Stereo pair,Positioned,y,y,y,y,y,3,,
YKA003E,Carrickalinga Beach 'Beach',Yankalillla,Western Fleurieu,17:45,17:45:00,19:00:00,17,2,2020,Summer,Riverine,"Clear, very dry",18,SD Mix Pre-3,LA CM3,Stereo pair,Tripod,y,y,y,y,y,4,,
YKA003F,Carrickalinga Beach 'Beach',Yankalilla,Western Fleurieu ,13:19,13:19:00,14:25:00,18,4,2020,Autumn,Riverine," Sunny, light breeze",13.6,SD Mix Pre-3,LA CM3,Stereo pair,Tripod,y,y,y,y,y,4,,
YKA004,Carrickalinga Creek at night,Yankalillla,Western Fleurieu,7:18,21:30:00,21:37:18,1,6,2018,Winter,Riverine,,,SD Mix Pre-3,LA CM3,Stereo pair (no windjammers),Tripod,y,y,y,y,y,4,,
YKA005,"yakka Plateau', Yankalillla",Yankalillla,Western Fleurieu,6:17,10:45:00,10:51:17,1,6,2018,Winter,Open space,,,SD Mix Pre-3,LA CM3,Stereo pair (no windjammers),Tripod,y,y,y,y,y,3,,
YKA006,"Lower clearing, near Carrickalinga Creek",Yankalillla,Western Fleurieu,8:46,11:00:00,11:08:46,1,6,2018,Winter,Open space,,,SD Mix Pre-3,LA CM3,Stereo pair (w/windjammers),Tripod,y,y,y,y,y,4,,
YKA007,"Native pine in wind, Middle Farm",Yankalillla,Western Fleurieu,2:38,11:30:00,11:32:38,1,6,2018,Winter,Open space,,,SD Mix Pre-3,LA CM3,Stereo pair (w/windjammers),Tripod,y,y,y,y,y,3,,
